polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 16*x^4 + 25*x^3 + 16*x^2 - 10*x + 1,(34650)*x^4 + (-62841)*x^3 + (-35082)*x^2 + (23139)*x^1 + (-2316),(34650) * (x^4 - 20947/11550*x^3 - 1949/1925*x^2 + 2571/3850*x - 386/5775),34650,-62841,-35082,23139,-2316,3,0,F(5),4728079593
x^5 - 15*x^4 - 9*x^3 + 19*x^2 + 9*x + 1,(59229)*x^4 + (29828)*x^3 + (-73017)*x^2 + (-33876)*x^1 + (-3739),(59229) * (x^4 + 29828/59229*x^3 - 8113/6581*x^2 - 3764/6581*x - 3739/59229),59229,29828,-73017,-33876,-3739,1,0,F(5),2382032
x^5 - 11*x^4 + 22*x^3 + 6*x^2 - 7*x + 1,(2976)*x^4 + (-7692)*x^3 + (-996)*x^2 + (1932)*x^1 + (-284),(2976) * (x^4 - 641/248*x^3 - 83/248*x^2 + 161/248*x - 71/744),2976,-7692,-996,1932,-284,4,0,F(5),59168000
x^5 - 10*x^4 + 16*x^3 + 25*x^2 - 16*x + 1,(1764)*x^4 + (-4605)*x^3 + (-1881)*x^2 + (1980)*x^1 + (21),(1764) * (x^4 - 1535/588*x^3 - 209/196*x^2 + 55/49*x + 1/84),1764,-4605,-1881,1980,21,3,0,F(5),4728079593
x^5 - 10*x^4 + 25*x^3 + 10*x^2 + 5*x + 1,(-675)*x^4 + (2325)*x^3 + (675)*x^2 + (225)*x^1 + (75),(-675) * (x^4 - 31/9*x^3 - x^2 - 1/3*x - 1/9),-675,2325,675,225,75,75,0,F(5),91378125
x^5 - 9*x^4 + 18*x^3 + 14*x^2 + 5*x + 1,(-264)*x^4 + (722)*x^3 + (450)*x^2 + (54)*x^1 + (14),(-264) * (x^4 - 361/132*x^3 - 75/44*x^2 - 9/44*x - 7/132),-264,722,450,54,14,2,0,F(5),7909200
x^5 - 8*x^4 - 25*x^3 - 10*x^2 + 3*x + 1,(15031)*x^4 + (36583)*x^3 + (13873)*x^2 + (-4145)*x^1 + (-1353),(15031) * (x^4 + 36583/15031*x^3 + 13873/15031*x^2 - 4145/15031*x - 1353/15031),15031,36583,13873,-4145,-1353,1,0,F(5),227381317
x^5 - 8*x^4 - 11*x^3 + 6*x^2 + 6*x + 1,(7722)*x^4 + (8639)*x^3 + (-5190)*x^2 + (-4869)*x^1 + (-798),(7722) * (x^4 + 8639/7722*x^3 - 865/1287*x^2 - 541/858*x - 133/1287),7722,8639,-5190,-4869,-798,1,0,F(5),6725897
x^5 - 7*x^4 - 9*x^3 + 17*x^2 + 9*x + 1,(4081)*x^4 + (3102)*x^3 + (-7931)*x^2 + (-3982)*x^1 + (-429),(4081) * (x^4 + 282/371*x^3 - 103/53*x^2 - 362/371*x - 39/371),4081,3102,-7931,-3982,-429,11,0,F(5),117128000
x^5 - 7*x^4 + 6*x^3 + 22*x^2 - 11*x + 1,(316)*x^4 + (-1108)*x^3 + (1084)*x^2 + (-332)*x^1 + (56),(316) * (x^4 - 277/79*x^3 + 271/79*x^2 - 83/79*x + 14/79),316,-1108,1084,-332,56,4,0,F(5),59168000
x^5 - 7*x^4 + 11*x^3 + 7*x^2 - x + 1,(-89)*x^4 + (122)*x^3 + (339)*x^2 + (-132)*x^1 + (1),(-89) * (x^4 - 122/89*x^3 - 339/89*x^2 + 132/89*x - 1/89),-89,122,339,-132,1,1,0,F(5),5618000
x^5 - 7*x^4 + 14*x^3 - 2*x^2 - 3*x + 1,(-116)*x^4 + (276)*x^3 + (148)*x^2 + (-212)*x^1 + (48),(-116) * (x^4 - 69/29*x^3 - 37/29*x^2 + 53/29*x - 12/29),-116,276,148,-212,48,4,0,F(5),562432
x^5 - 7*x^4 + 16*x^3 - 8*x^2 - x + 1,(-144)*x^4 + (462)*x^3 + (-126)*x^2 + (-162)*x^1 + (66),(-144) * (x^4 - 77/24*x^3 + 7/8*x^2 + 9/8*x - 11/24),-144,462,-126,-162,66,6,0,F(5),162000
x^5 - 7*x^4 + 19*x^3 - 5*x^2 - x + 1,(-585)*x^4 + (2622)*x^3 + (-585)*x^2 + (-288)*x^1 + (165),(-585) * (x^4 - 874/195*x^3 + x^2 + 32/65*x - 11/39),-585,2622,-585,-288,165,3,0,F(5),31608144
x^5 - 7*x^4 + 21*x^3 - 23*x^2 + 9*x + 1,(-149)*x^4 + (892)*x^3 + (-1021)*x^2 + (188)*x^1 + (211),(-149) * (x^4 - 892/149*x^3 + 1021/149*x^2 - 188/149*x - 211/149),-149,892,-1021,188,211,1,0,F(5),9522000
x^5 - 6*x^4 - 18*x^3 + 12*x^2 + 8*x + 1,(5280)*x^4 + (8951)*x^3 + (-6822)*x^2 + (-4266)*x^1 + (-524),(5280) * (x^4 + 8951/5280*x^3 - 1137/880*x^2 - 711/880*x - 131/1320),5280,8951,-6822,-4266,-524,1,0,F(5),11122069
x^5 - 5*x^4 - 20*x^3 + 5*x + 1,(4650)*x^4 + (10650)*x^3 + (-150)*x^2 + (-2550)*x^1 + (-500),(4650) * (x^4 + 71/31*x^3 - 1/31*x^2 - 17/31*x - 10/93),4650,10650,-150,-2550,-500,50,0,F(5),2450000
x^5 - 5*x^4 + 20*x^2 - 5*x + 1,(100)*x^4 + (-700)*x^3 + (1300)*x^2 + (-300)*x^1 + (0),(100) * (x - 3) * x * (x^2 - 4*x + 1),100,-700,1300,-300,0,100,1,F(5),800000
x^5 - 5*x^4 + 6*x^3 + 22*x^2 + 13*x + 1,(-836)*x^4 + (1434)*x^3 + (4074)*x^2 + (2454)*x^1 + (274),(-836) * (x^4 - 717/418*x^3 - 2037/418*x^2 - 1227/418*x - 137/418),-836,1434,4074,2454,274,2,0,F(5),84399952
x^5 - 5*x^4 + 10*x^3 - 10*x^2 + 5*x + 1,(0)*x^4 + (-50)*x^3 + (150)*x^2 + (-150)*x^1 + (50),(-50) * (x - 1)^3,0,-50,150,-150,50,50,1,F(5),50000
x^5 - 5*x^4 + 15*x^3 - 25*x^2 + 25*x + 1,(25)*x^4 + (-400)*x^3 + (1075)*x^2 + (-1350)*x^1 + (675),(25) * (x^4 - 16*x^3 + 43*x^2 - 54*x + 27),25,-400,1075,-1350,675,25,0,F(5),68450000
x^5 - 5*x^4 + 20*x^3 - 4*x^2 + x + 1,(-170)*x^4 + (4650)*x^3 + (-886)*x^2 + (114)*x^1 + (256),(-170) * (x^4 - 465/17*x^3 + 443/85*x^2 - 57/85*x - 128/85),-170,4650,-886,114,256,2,0,F(5),192944592
x^5 - 5*x^4 + 20*x^3 - 5*x + 1,(-200)*x^4 + (5300)*x^3 + (100)*x^2 + (-1500)*x^1 + (300),(-200) * (x^4 - 53/2*x^3 - 1/2*x^2 + 15/2*x - 3/2),-200,5300,100,-1500,300,100,0,F(5),800000
x^5 - 3*x^4 - 5*x^3 + 15*x^2 + 8*x + 1,(16)*x^4 + (-457)*x^3 + (653)*x^2 + (400)*x^1 + (52),(16) * (x^4 - 457/16*x^3 + 653/16*x^2 + 25*x + 13/4),16,-457,653,400,52,1,0,F(5),44217
x^5 - 3*x^4 - 2*x^3 + 14*x^2 - 7*x + 1,(40)*x^4 + (-532)*x^3 + (1172)*x^2 + (-524)*x^1 + (68),(40) * (x^4 - 133/10*x^3 + 293/10*x^2 - 131/10*x + 17/10),40,-532,1172,-524,68,4,0,F(5),562432
x^5 - 3*x^4 + 2*x^3 - 8*x^2 + 17*x + 1,(-104)*x^4 + (206)*x^3 + (526)*x^2 + (-1294)*x^1 + (246),(-104) * (x^4 - 103/52*x^3 - 263/52*x^2 + 647/52*x - 123/52),-104,206,526,-1294,246,2,0,F(5),23762000
x^5 - 3*x^4 + 2*x^3 + 2*x^2 + 23*x + 1,(-374)*x^4 + (482)*x^3 + (-86)*x^2 + (326)*x^1 + (536),(-374) * (x^4 - 241/187*x^3 + 43/187*x^2 - 163/187*x - 268/187),-374,482,-86,326,536,2,0,F(5),1908366928
x^5 - 3*x^4 + 11*x^3 - 25*x^2 + 19*x + 1,(235)*x^4 + (-1546)*x^3 + (3083)*x^2 + (-2344)*x^1 + (341),(235) * (x^4 - 1546/235*x^3 + 3083/235*x^2 - 2344/235*x + 341/235),235,-1546,3083,-2344,341,1,0,F(5),130800592
x^5 - 3*x^4 + 19*x^3 - 15*x^2 + 14*x + 1,(730)*x^4 + (803)*x^3 + (-805)*x^2 + (820)*x^1 + (322),(730) * (x^4 + 11/10*x^3 - 161/146*x^2 + 82/73*x + 161/365),730,803,-805,820,322,1,0,F(5),2318783697
x^5 - 3*x^4 + 22*x^3 + 12*x^2 + 17*x + 1,(556)*x^4 + (8606)*x^3 + (4406)*x^2 + (5746)*x^1 + (586),(556) * (x^4 + 4303/278*x^3 + 2203/278*x^2 + 2873/278*x + 293/278),556,8606,4406,5746,586,2,0,F(5),17111250000
x^5 - 2*x^4 + 6*x^3 + 2*x^2 + 4*x + 1,(-44)*x^4 + (407)*x^3 + (154)*x^2 + (198)*x^1 + (66),(-44) * (x^4 - 37/4*x^3 - 7/2*x^2 - 9/2*x - 3/2),-44,407,154,198,66,11,0,F(5),1830125
x^5 - x^4 - 8*x^3 + 16*x^2 - 7*x + 1,(306)*x^4 + (-1362)*x^3 + (1854)*x^2 + (-738)*x^1 + (96),(306) * (x^4 - 227/51*x^3 + 103/17*x^2 - 41/17*x + 16/51),306,-1362,1854,-738,96,6,0,F(5),162000
x^5 - x^4 - 5*x^3 + 19*x^2 - 7*x + 1,(117)*x^4 + (-1128)*x^3 + (2907)*x^2 + (-1026)*x^1 + (123),(117) * (x^4 - 376/39*x^3 + 323/13*x^2 - 114/13*x + 41/39),117,-1128,2907,-1026,123,3,0,F(5),31608144
x^5 - x^4 + x^2 + 3*x + 1,(-50)*x^4 + (-5)*x^3 + (20)*x^2 + (23)*x^1 + (13),(-50) * (x^4 + 1/10*x^3 - 2/5*x^2 - 23/50*x - 13/50),-50,-5,20,23,13,1,0,F(5),44217
x^5 - x^4 + 7*x^3 + 11*x^2 - 7*x + 1,(201)*x^4 + (1028)*x^3 + (1359)*x^2 + (-918)*x^1 + (131),(201) * (x^4 + 1028/201*x^3 + 453/67*x^2 - 306/67*x + 131/201),201,1028,1359,-918,131,1,0,F(5),5618000
x^5 - x^4 + 12*x^3 - 14*x^2 + 3*x + 1,(556)*x^4 + (-1442)*x^3 + (1154)*x^2 + (-298)*x^1 + (-14),(556) * (x^4 - 721/278*x^3 + 577/278*x^2 - 149/278*x - 7/278),556,-1442,1154,-298,-14,2,0,F(5),9522000
x^5 - x^4 + 17*x^3 + x^2 + 3*x + 1,(1021)*x^4 + (1338)*x^3 + (139)*x^2 + (142)*x^1 + (81),(1021) * (x^4 + 1338/1021*x^3 + 139/1021*x^2 + 142/1021*x + 81/1021),1021,1338,139,142,81,1,0,F(5),157216000
x^5 - 10*x^3 + 20*x + 1,(100)*x^4 + (-25)*x^3 + (-200)*x^2 + (50)*x^1 + (400),(100) * (x^4 - 1/4*x^3 - 2*x^2 + 1/2*x + 4),100,-25,-200,50,400,25,0,F(5),50403125
x^5 + 5*x^3 + 5*x + 1,(25)*x^4 + (-25)*x^3 + (25)*x^2 + (-25)*x^1 + (25),(25) * (x^4 - x^3 + x^2 - x + 1),25,-25,25,-25,25,25,0,F(5),78125
x^5 + 10*x^3 + 20*x + 1,(100)*x^4 + (-25)*x^3 + (200)*x^2 + (-50)*x^1 + (400),(100) * (x^4 - 1/4*x^3 + 2*x^2 - 1/2*x + 4),100,-25,200,-50,400,25,0,F(5),52003125
x^5 + x^4 - 14*x^3 - 6*x^2 + 3*x + 1,(774)*x^4 + (170)*x^3 + (-78)*x^2 + (78)*x^1 + (36),(774) * (x^4 + 85/387*x^3 - 13/129*x^2 + 13/129*x + 2/43),774,170,-78,78,36,2,0,F(5),19120976
x^5 + x^4 - 11*x^3 - 9*x^2 + x + 1,(471)*x^4 + (670)*x^3 + (297)*x^2 + (18)*x^1 + (1),(471) * (x^4 + 670/471*x^3 + 99/157*x^2 + 6/157*x + 1/471),471,670,297,18,1,1,0,F(5),6889792
x^5 + x^4 - 9*x^3 - 11*x^2 + x + 1,(289)*x^4 + (834)*x^3 + (657)*x^2 + (-18)*x^1 + (-17),(289) * (x^4 + 834/289*x^3 + 657/289*x^2 - 18/289*x - 1/17),289,834,657,-18,-17,1,0,F(5),6889792
x^5 + x^4 - 4*x^3 + 20*x^2 - 5*x + 1,(280)*x^4 + (-1038)*x^3 + (3950)*x^2 + (-966)*x^1 + (142),(280) * (x^4 - 519/140*x^3 + 395/28*x^2 - 69/20*x + 71/140),280,-1038,3950,-966,142,2,0,F(5),192944592
x^5 + x^4 + 2*x^3 + 4*x^2 + x + 1,(16)*x^4 + (46)*x^3 + (102)*x^2 + (18)*x^1 + (14),(16) * (x^4 + 23/8*x^3 + 51/8*x^2 + 9/8*x + 7/8),16,46,102,18,14,2,0,F(5),35152
x^5 + x^4 + 4*x^3 + 2*x^2 + x + 1,(42)*x^4 + (2)*x^3 + (-6)*x^2 + (-18)*x^1 + (-4),(42) * (x^4 + 1/21*x^3 - 1/7*x^2 - 3/7*x - 2/21),42,2,-6,-18,-4,2,0,F(5),35152
x^5 + x^4 + 8*x^3 - x^2 + 7*x + 1,(106)*x^4 + (-417)*x^3 + (74)*x^2 + (-321)*x^1 + (13),(106) * (x^4 - 417/106*x^3 + 37/53*x^2 - 321/106*x + 13/106),106,-417,74,-321,13,1,0,F(5),15962337
x^5 + 3*x^4 - 14*x^3 + 12*x^2 - x + 1,(1726)*x^4 + (-4858)*x^3 + (3614)*x^2 + (-242)*x^1 + (256),(1726) * (x^4 - 2429/863*x^3 + 1807/863*x^2 - 121/863*x + 128/863),1726,-4858,3614,-242,256,2,0,F(5),9522000
x^5 + 3*x^4 - 13*x^3 + x^2 + 5*x + 1,(1285)*x^4 + (-2674)*x^3 + (37)*x^2 + (1016)*x^1 + (213),(1285) * (x^4 - 2674/1285*x^3 + 37/1285*x^2 + 1016/1285*x + 213/1285),1285,-2674,37,1016,213,1,0,F(5),2382032
x^5 + 3*x^4 - 10*x^3 - 25*x^2 - 8*x + 1,(601)*x^4 + (1898)*x^3 + (2057)*x^2 + (665)*x^1 + (86),(601) * (x^4 + 1898/601*x^3 + 2057/601*x^2 + 665/601*x + 86/601),601,1898,2057,665,86,1,0,F(5),227381317
