polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 + 3*x^4 - 9*x^3 - 23*x^2 + 9*x + 1,(261)*x^4 + (1262)*x^3 + (1449)*x^2 + (-612)*x^1 + (101),(261) * (x^4 + 1262/261*x^3 + 161/29*x^2 - 68/29*x + 101/261),261,1262,1449,-612,101,1,0,F(5),108578000
x^5 + 3*x^4 - 6*x^3 - 14*x^2 + x + 1,(228)*x^4 + (494)*x^3 + (318)*x^2 + (-6)*x^1 + (30),(228) * (x^4 + 13/6*x^3 + 53/38*x^2 - 1/38*x + 5/38),228,494,318,-6,30,2,0,F(5),19120976
x^5 + 3*x^4 + x^3 - x + 1,(55)*x^4 + (11)*x^3 + (-37)*x^2 + (-29)*x^1 + (16),(55) * (x^4 + 1/5*x^3 - 37/55*x^2 - 29/55*x + 16/55),55,11,-37,-29,16,1,0,F(5),44217
x^5 + 3*x^4 + x^3 + 17*x^2 - x + 1,(361)*x^4 + (62)*x^3 + (2819)*x^2 + (-182)*x^1 + (101),(361) * (x^4 + 62/361*x^3 + 2819/361*x^2 - 182/361*x + 101/361),361,62,2819,-182,101,1,0,F(5),157216000
x^5 + 3*x^4 + 6*x^3 + 2*x^2 + 19*x + 1,(-294)*x^4 + (-568)*x^3 + (-156)*x^2 + (-552)*x^1 + (326),(-294) * (x^4 + 284/147*x^3 + 26/49*x^2 + 92/49*x - 163/147),-294,-568,-156,-552,326,2,0,F(5),640000000
x^5 + 3*x^4 + 6*x^3 + 22*x^2 + 9*x + 1,(216)*x^4 + (902)*x^3 + (3294)*x^2 + (1338)*x^1 + (146),(216) * (x^4 + 451/108*x^3 + 61/4*x^2 + 223/36*x + 73/108),216,902,3294,1338,146,2,0,F(5),5618000
x^5 + 4*x^4 + 2*x^3 + 6*x^2 - 2*x + 1,(286)*x^4 + (143)*x^3 + (484)*x^2 + (-198)*x^1 + (66),(286) * (x^4 + 1/2*x^3 + 22/13*x^2 - 9/13*x + 3/13),286,143,484,-198,66,11,0,F(5),1830125
x^5 + 5*x^4 - 10*x^3 + 10*x^2 - 5*x + 1,(2650)*x^4 + (-4550)*x^3 + (4250)*x^2 + (-2050)*x^1 + (400),(2650) * (x^4 - 91/53*x^3 + 85/53*x^2 - 41/53*x + 8/53),2650,-4550,4250,-2050,400,50,0,F(5),50000
x^5 + 5*x^4 - 20*x^2 - 5*x + 1,(100)*x^4 + (650)*x^3 + (1150)*x^2 + (250)*x^1 + (50),(100) * (x^4 + 13/2*x^3 + 23/2*x^2 + 5/2*x + 1/2),100,650,1150,250,50,50,0,F(5),2450000
x^5 + 5*x^4 + 5*x^2 + 1,(775)*x^4 + (-150)*x^3 + (775)*x^2 + (-25)*x^1 + (150),(775) * (x^4 - 6/31*x^3 + x^2 - 1/31*x + 6/31),775,-150,775,-25,150,25,0,F(5),78125
x^5 + 5*x^4 + x^3 - 13*x^2 + 3*x + 1,(69)*x^4 + (144)*x^3 + (9)*x^2 + (-66)*x^1 + (49),(69) * (x^4 + 48/23*x^3 + 3/23*x^2 - 22/23*x + 49/69),69,144,9,-66,49,1,0,F(5),2382032
x^5 + 5*x^4 + 10*x^3 + 20*x^2 + 5*x + 1,(300)*x^4 + (950)*x^3 + (1950)*x^2 + (450)*x^1 + (50),(300) * (x^4 + 19/6*x^3 + 13/2*x^2 + 3/2*x + 1/6),300,950,1950,450,50,50,0,F(5),42050000
x^5 + 5*x^4 + 10*x^3 + 25*x^2 - 10*x + 1,(675)*x^4 + (1950)*x^3 + (3825)*x^2 + (-1575)*x^1 + (150),(675) * (x^4 + 26/9*x^3 + 17/3*x^2 - 7/3*x + 2/9),675,1950,3825,-1575,150,75,0,F(5),91378125
x^5 + 5*x^4 + 14*x^3 + 18*x^2 - 9*x + 1,(334)*x^4 + (694)*x^3 + (150)*x^2 + (-158)*x^1 + (16),(334) * (x^4 + 347/167*x^3 + 75/167*x^2 - 79/167*x + 8/167),334,694,150,-158,16,2,0,F(5),7909200
x^5 + 5*x^4 + 14*x^3 + 18*x^2 + 17*x + 1,(-56)*x^4 + (-216)*x^3 + (-136)*x^2 + (24)*x^1 + (224),(-56) * (x^4 + 27/7*x^3 + 17/7*x^2 - 3/7*x - 4),-56,-216,-136,24,224,8,0,F(5),8998912
x^5 + 5*x^4 + 15*x^3 + 25*x^2 + 25*x + 1,(25)*x^4 + (350)*x^3 + (925)*x^2 + (1150)*x^1 + (575),(25) * (x^4 + 14*x^3 + 37*x^2 + 46*x + 23),25,350,925,1150,575,25,0,F(5),33800000
x^5 + 5*x^4 + 20*x^3 + 10*x^2 + 5*x + 1,(-50)*x^4 + (-3550)*x^3 + (-1950)*x^2 + (-1050)*x^1 + (-200),(-50) * (x^4 + 71*x^3 + 39*x^2 + 21*x + 4),-50,-3550,-1950,-1050,-200,50,0,F(5),42050000
x^5 + 6*x^4 + 6*x^3 - 11*x^2 - 8*x + 1,(84)*x^4 + (347)*x^3 + (447)*x^2 + (150)*x^1 + (81),(84) * (x^4 + 347/84*x^3 + 149/28*x^2 + 25/14*x + 27/28),84,347,447,150,81,1,0,F(5),6725897
x^5 + 6*x^4 + 23*x^3 + 23*x^2 + 9*x + 1,(-35)*x^4 + (-2611)*x^3 + (-3174)*x^2 + (-1312)*x^1 + (-140),(-35) * (x^4 + 373/5*x^3 + 3174/35*x^2 + 1312/35*x + 4),-35,-2611,-3174,-1312,-140,1,0,F(5),3581577
x^5 + 7*x^4 - 8*x^3 + 12*x^2 + 7*x + 1,(5016)*x^4 + (-6644)*x^3 + (7596)*x^2 + (4716)*x^1 + (676),(5016) * (x^4 - 151/114*x^3 + 633/418*x^2 + 393/418*x + 169/1254),5016,-6644,7596,4716,676,4,0,F(5),157216000
x^5 + 7*x^4 - x^3 + 8*x^2 + x + 1,(2971)*x^4 + (-933)*x^3 + (3389)*x^2 + (399)*x^1 + (412),(2971) * (x^4 - 933/2971*x^3 + 3389/2971*x^2 + 399/2971*x + 412/2971),2971,-933,3389,399,412,1,0,F(5),15962337
x^5 + 7*x^4 + 12*x^3 - 8*x^2 + 7*x + 1,(-404)*x^4 + (-1044)*x^3 + (156)*x^2 + (-564)*x^1 + (16),(-404) * (x^4 + 261/101*x^3 - 39/101*x^2 + 141/101*x - 4/101),-404,-1044,156,-564,16,4,0,F(5),157216000
x^5 + 7*x^4 + 16*x^3 - 10*x^2 + 15*x + 1,(-1140)*x^4 + (-3870)*x^3 + (1350)*x^2 + (-3054)*x^1 + (70),(-1140) * (x^4 + 129/38*x^3 - 45/38*x^2 + 509/190*x - 7/114),-1140,-3870,1350,-3054,70,2,0,F(5),5583176272
x^5 + 7*x^4 + 23*x^3 - x^2 + 13*x + 1,(-1355)*x^4 + (-7812)*x^3 + (-133)*x^2 + (-4194)*x^1 + (-137),(-1355) * (x^4 + 7812/1355*x^3 + 133/1355*x^2 + 4194/1355*x + 137/1355),-1355,-7812,-133,-4194,-137,1,0,F(5),6710321232
x^5 + 8*x^4 + 12*x^3 - 18*x^2 - 6*x + 1,(58)*x^4 + (407)*x^3 + (804)*x^2 + (80)*x^1 + (74),(58) * (x^4 + 407/58*x^3 + 402/29*x^2 + 40/29*x + 37/29),58,407,804,80,74,1,0,F(5),11122069
x^5 + 8*x^4 + 15*x^3 - 5*x^2 - 3*x + 1,(1)*x^4 + (43)*x^3 + (92)*x^2 + (-100)*x^1 + (16),x^4 + 43*x^3 + 92*x^2 - 100*x + 16,1,43,92,-100,16,1,0,F(5),44217
x^5 + 8*x^4 + 16*x^3 + 2*x^2 + 14*x + 1,(-114)*x^4 + (-553)*x^3 + (-756)*x^2 + (108)*x^1 + (206),(-114) * (x^4 + 553/114*x^3 + 126/19*x^2 - 18/19*x - 103/57),-114,-553,-756,108,206,1,0,F(5),106953125
x^5 + 9*x^4 - 23*x^3 - 9*x^2 + 3*x + 1,(17461)*x^4 + (-32812)*x^3 + (-13731)*x^2 + (4462)*x^1 + (1521),(17461) * (x^4 - 32812/17461*x^3 - 13731/17461*x^2 + 4462/17461*x + 1521/17461),17461,-32812,-13731,4462,1521,1,0,F(5),108578000
x^5 + 9*x^4 - 23*x^3 + 21*x^2 - 7*x + 1,(19231)*x^4 + (-42892)*x^3 + (37259)*x^2 + (-12188)*x^1 + (1711),(19231) * (x^4 - 42892/19231*x^3 + 37259/19231*x^2 - 12188/19231*x + 1711/19231),19231,-42892,37259,-12188,1711,1,0,F(5),9522000
x^5 + 9*x^4 + 17*x^3 - 9*x^2 - 7*x + 1,(451)*x^4 + (1298)*x^3 + (-11)*x^2 + (-418)*x^1 + (121),(451) * (x^4 + 118/41*x^3 - 1/41*x^2 - 38/41*x + 11/41),451,1298,-11,-418,121,11,0,F(5),117128000
x^5 + 9*x^4 + 19*x^3 - 9*x^2 - 15*x + 1,(49)*x^4 + (452)*x^3 + (1119)*x^2 + (364)*x^1 + (225),(49) * (x^4 + 452/49*x^3 + 1119/49*x^2 + 52/7*x + 225/49),49,452,1119,364,225,1,0,F(5),2382032
x^5 + 9*x^4 + 22*x^3 + 6*x^2 + 3*x + 1,(-134)*x^4 + (-502)*x^3 + (-366)*x^2 + (-218)*x^1 + (-24),(-134) * (x^4 + 251/67*x^3 + 183/67*x^2 + 109/67*x + 12/67),-134,-502,-366,-218,-24,2,0,F(5),5618000
x^5 + 9*x^4 + 23*x^3 + 23*x^2 + 6*x + 1,(514)*x^4 + (1805)*x^3 + (2001)*x^2 + (452)*x^1 + (52),(514) * (x^4 + 1805/514*x^3 + 2001/514*x^2 + 226/257*x + 26/257),514,1805,2001,452,52,1,0,F(5),3581577
x^5 + 13*x^4 - x^3 + 23*x^2 + 7*x + 1,(31099)*x^4 + (-7074)*x^3 + (55103)*x^2 + (17028)*x^1 + (2413),(31099) * (x^4 - 7074/31099*x^3 + 55103/31099*x^2 + 17028/31099*x + 2413/31099),31099,-7074,55103,17028,2413,1,0,F(5),6710321232
x^5 + 13*x^4 + 22*x^3 + 6*x^2 - 5*x + 1,(12450)*x^4 + (24166)*x^3 + (7182)*x^2 + (-5814)*x^1 + (1108),(12450) * (x^4 + 12083/6225*x^3 + 1197/2075*x^2 - 969/2075*x + 554/6225),12450,24166,7182,-5814,1108,2,0,F(5),84399952
x^5 + 14*x^4 - 15*x^3 + 19*x^2 - 3*x + 1,(55657)*x^4 + (-60635)*x^3 + (71768)*x^2 + (-11386)*x^1 + (3688),(55657) * (x^4 - 60635/55657*x^3 + 71768/55657*x^2 - 11386/55657*x + 3688/55657),55657,-60635,71768,-11386,3688,1,0,F(5),2318783697
x^5 + 14*x^4 + 2*x^3 + 16*x^2 + 8*x + 1,(37696)*x^4 + (1703)*x^3 + (42654)*x^2 + (22002)*x^1 + (2776),(37696) * (x^4 + 1703/37696*x^3 + 21327/18848*x^2 + 579/992*x + 347/4712),37696,1703,42654,22002,2776,1,0,F(5),106953125
x^5 + 15*x^4 - 10*x^3 + 16*x^2 + 7*x + 1,(63610)*x^4 + (-46030)*x^3 + (64034)*x^2 + (28658)*x^1 + (4104),(63610) * (x^4 - 4603/6361*x^3 + 32017/31805*x^2 + 14329/31805*x + 2052/31805),63610,-46030,64034,28658,4104,2,0,F(5),5583176272
x^5 + 17*x^4 - 8*x^3 + 2*x^2 - 3*x + 1,(95586)*x^4 + (-44094)*x^3 + (11586)*x^2 + (-16674)*x^1 + (5476),(95586) * (x^4 - 7349/15931*x^3 + 1931/15931*x^2 - 2779/15931*x + 2738/47793),95586,-44094,11586,-16674,5476,2,0,F(5),23762000
x^5 + 17*x^4 + 12*x^3 + 22*x^2 - 3*x + 1,(69046)*x^4 + (46306)*x^3 + (95066)*x^2 + (-13234)*x^1 + (4216),(69046) * (x^4 + 23153/34523*x^3 + 47533/34523*x^2 - 6617/34523*x + 2108/34523),69046,46306,95066,-13234,4216,2,0,F(5),17111250000
x^5 + 17*x^4 + 18*x^3 + 14*x^2 + 5*x + 1,(60160)*x^4 + (64760)*x^3 + (51800)*x^2 + (18696)*x^1 + (3784),(60160) * (x^4 + 1619/1504*x^3 + 1295/1504*x^2 + 2337/7520*x + 473/7520),60160,64760,51800,18696,3784,8,0,F(5),8998912
x^5 + 19*x^4 - 25*x^3 + 11*x^2 - 3*x + 1,(179245)*x^4 + (-225872)*x^3 + (98311)*x^2 + (-26810)*x^1 + (8823),(179245) * (x^4 - 225872/179245*x^3 + 98311/179245*x^2 - 5362/35849*x + 8823/179245),179245,-225872,98311,-26810,8823,1,0,F(5),130800592
x^5 + 19*x^4 + 2*x^3 + 6*x^2 + 3*x + 1,(127366)*x^4 + (10968)*x^3 + (39204)*x^2 + (19912)*x^1 + (6746),(127366) * (x^4 + 5484/63683*x^3 + 19602/63683*x^2 + 9956/63683*x + 3373/63683),127366,10968,39204,19912,6746,2,0,F(5),640000000
x^5 + 20*x^4 - 10*x^2 + 1,(158800)*x^4 + (3975)*x^3 + (-79400)*x^2 + (-400)*x^1 + (7950),(158800) * (x^4 + 159/6352*x^3 - 1/2*x^2 - 1/397*x + 159/3176),158800,3975,-79400,-400,7950,25,0,F(5),50403125
x^5 + 20*x^4 + 10*x^2 + 1,(161200)*x^4 + (-4025)*x^3 + (80600)*x^2 + (-400)*x^1 + (8050),(161200) * (x^4 - 161/6448*x^3 + 1/2*x^2 - 1/403*x + 161/3224),161200,-4025,80600,-400,8050,25,0,F(5),52003125
x^5 + 23*x^4 + 2*x^3 + 2*x^2 - 3*x + 1,(274888)*x^4 + (23414)*x^3 + (25238)*x^2 + (-36542)*x^1 + (12002),(274888) * (x^4 + 11707/137444*x^3 + 12619/137444*x^2 - 18271/137444*x + 6001/137444),274888,23414,25238,-36542,12002,2,0,F(5),1908366928
x^5 + 25*x^4 - 25*x^3 + 15*x^2 - 5*x + 1,(473575)*x^4 + (-466150)*x^3 + (276775)*x^2 + (-91800)*x^1 + (18225),(473575) * (x^4 - 18646/18943*x^3 + 11071/18943*x^2 - 3672/18943*x + 729/18943),473575,-466150,276775,-91800,18225,25,0,F(5),68450000
x^5 + 25*x^4 + 25*x^3 + 15*x^2 + 5*x + 1,(317175)*x^4 + (322350)*x^3 + (195525)*x^2 + (65550)*x^1 + (13225),(317175) * (x^4 + 4298/4229*x^3 + 2607/4229*x^2 + 874/4229*x + 529/12687),317175,322350,195525,65550,13225,25,0,F(5),33800000
